iter	Passed	Remaining
406	6718	9788
407	6732	9768
408	6746	9747
409	6759	9726
410	6772	9705
411	6785	9684
412	6797	9661
413	6809	9638
414	6821	9616
415	6833	9592
416	6845	9570
417	6856	9547
418	6868	9524
419	6880	9501
420	6892	9478
421	6903	9455
422	6915	9432
423	6927	9410
424	6939	9388
425	6949	9364
426	6960	9341
427	6973	9319
428	6984	9296
429	6996	9274
430	7008	9252
431	7020	9231
432	7033	9209
433	7046	9189
434	7057	9166
435	7069	9145
436	7082	9124
437	7095	9104
438	7108	9084
439	7120	9062
440	7132	9041
441	7144	9019
442	7156	8998
443	7168	8977
444	7182	8958
445	7196	8938
446	7210	8920
447	7223	8900
448	7237	8881
449	7251	8862
450	7264	8842
451	7278	8824
452	7291	8805
453	7306	8787
454	7321	8769
455	7334	8750
456	7349	8733
457	7362	8713
458	7375	8693
459	7388	8673
460	7401	8654
461	7415	8635
462	7429	8616
463	7443	8598
464	7456	8579
465	7468	8558
466	7482	8540
467	7496	8521
468	7510	8503
469	7525	8486
470	7540	8468
471	7553	8449
472	7565	8428
473	7576	8407
474	7587	8386
475	7599	8365
476	7611	8345
477	7623	8325
478	7634	8303
479	7646	8283
480	7657	8262
481	7668	8241
482	7681	8222
483	7692	8201
484	7704	8180
485	7716	8160
486	7728	8140
487	7739	8119
488	7751	8100
489	7762	8079
490	7773	8057
491	7785	8038
492	7796	8018
493	7809	7998
494	7821	7979
495	7832	7959
496	7844	7939
497	7855	7918
498	7866	7897
499	7877	7877
500	7890	7858
501	7900	7837
502	7913	7818
503	7925	7799
504	7936	7779
505	7948	7759
506	7959	7739
507	7969	7718
508	7980	7698
509	7992	7679
510	8003	7659
511	8016	7640
512	8028	7621
513	8039	7601
514	8052	7583
515	8063	7563
516	8073	7542
517	8084	7522
518	8096	7503
519	8107	7483
520	8119	7464
521	8129	7444
522	8141	7425
523	8152	7405
524	8164	7386
525	8174	7366
526	8186	7347
527	8197	7328
528	8208	7308
529	8219	7288
530	8230	7269
531	8241	7250
532	8253	7231
533	8263	7211
534	8294	7209
535	8308	7192
536	8336	7187
537	8351	7171
538	8364	7154
539	8378	7136
540	8389	7118
541	8400	7098
542	8411	7079
543	8422	7059
544	8433	7040
545	8444	7021
546	8455	7002
547	8466	6983
548	8480	6966
549	8491	6947
550	8503	6928
551	8514	6910
552	8524	6890
553	8535	6871
554	8547	6853
555	8558	6834
556	8570	6816
557	8581	6797
558	8593	6779
559	8605	6761
560	8615	6742
561	8627	6723
562	8638	6705
563	8649	6686
564	8661	6668
565	8672	6650
566	8684	6631
567	8697	6614
568	8708	6596
569	8719	6577
570	8730	6559
